"32876","# doc = Skazka.2.txt","","","","","","","","","","","","","","","",""
"32877","# speaker = R","","","","","","","","","","","","","","","",""
"32878","# sent = 2526","","","","","","","","","","","","","","","",""
"32879","","Меня","Я","SPRO sg 1p - acc","","","   _Меня_ зовут Римма Николаевна","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","�"
"32880","","зовут","ЗВАТЬ","V ipf praes pl indic - 3p","","","  Меня _зовут_ Римма Николаевна .","т","у","в","о","з","","V","ЗВАТЬ","V ipf praes pl indic - 3p","�"
"32881","","Римма","РИММА","S persn f anim","",""," Меня зовут _Римма_ Николаевна . ","а","м","м","и","р","","S","РИММА","S f anim nom sg","�"
"32882","","Николаевна","НИКОЛАЕВНА","S patrn f anim","","","Меня зовут Римма _Николаевна_ .  ","а","н","в","е","а","л","S","НИКОЛАЕВНА","S f anim nom sg","�"
"32883","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"32884","","","","","","","","","","","","","","","","",""
"32885","# sent = 2527","","","","","","","","","","","","","","","",""
"32886","","И","И","CONJ","","",".   _И_ вот я кончила","и","","","","","","CONJ","И","CONJ","�"
"32887","","вот","ВОТ","PART","","","  И _вот_ я кончила Костромское","т","о","в","","","","PART","ВОТ","PART","�"
"32888","","я","Я","SPRO sg 1p - nom","",""," И вот _я_ кончила Костромское медицинское","я","","","","","","SPRO","Я","SPRO sg 1p - nom","�"
"32889","","кончила","КОНЧИТЬ","V pf praet sg indic f -","","","И вот я _кончила_ Костромское медицинское училище","а","л","и","ч","н","о","V","КОНЧИТЬ","V pf praet sg indic f -","�"
"32890","","Костромское","КОСТРОМСКОЙ","A - acc sg plen n -","","","вот я кончила _Костромское_ медицинское училище ,","е","о","к","с","м","о","A","КОСТРОМСКОЙ","A - acc sg plen n -","�"
"32891","","медицинское","МЕДИЦИНСКИЙ","A - acc sg plen n inan","","","я кончила Костромское _медицинское_ училище , вот","е","о","к","с","н","и","A","МЕДИЦИНСКИЙ","A - acc sg plen n inan","�"
"32892","","училище","УЧИЛИЩЕ","S n inan acc sg","","","кончила Костромское медицинское _училище_ , вот ,","е","щ","и","л","и","ч","S","УЧИЛИЩЕ","S n inan acc sg","�"
"32893","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32894","","вот","ВОТ","PART","","","медицинское училище , _вот_ , и ,","т","о","в","","","","PART","ВОТ","PART","�"
"32895","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32896","","и","И","CONJ","","",", вот , _и_ , потом мы","и","","","","","","CONJ","И","CONJ","�"
"32897","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32898","","потом","ПОТОМ","ADV -","","",", и , _потом_ мы эм переехали","м","о","т","о","п","","ADV","ПОТОМ","ADV -","�"
"32899","","мы","МЫ","SPRO pl 1p - nom","","","и , потом _мы_ эм переехали сюда","ы","м","","","","","SPRO","МЫ","SPRO pl 1p - nom","�"
"32900","","эм","ЭМ","INTJ","","",", потом мы _эм_ переехали сюда в","м","э","","","","","INTJ","ЭМ","S n inan nonflex -","�"
"32901","","переехали","ПЕРЕЕХАТЬ","V pf praet pl indic - -","","","потом мы эм _переехали_ сюда в Беларусью","и","л","а","х","е","е","V","ПЕРЕЕХАТЬ","V pf praet pl indic - -","�"
"32902","","сюда","СЮДА","ADV -","","","мы эм переехали _сюда_ в Беларусью с","а","д","ю","с","","","ADV","СЮДА","ADV -","�"
"32903","","в","В","PR","","","эм переехали сюда _в_ Беларусью с мужем","в","","","","","","PR","В","PR","�"
"32904","","Беларусью","БЕЛАРУСЬ","S f inan sg","distort","","переехали сюда в _Беларусью_ с мужем .","ю","ь","с","у","р","а","S","БЕЛАРУСЬ","S m inan loc sg","�"
"32905","","с","С","PR","","","сюда в Беларусью _с_ мужем . ","с","","","","","","PR","С","PR","�"
"32906","","мужем","МУЖ","S m anim ins sg","","","в Беларусью с _мужем_ .  ","м","е","ж","у","м","","S","МУЖ","S m anim ins sg","�"
"32907","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"32908","","","","","","","","","","","","","","","","",""
"32909","# sent = 2528","","","","","","","","","","","","","","","",""
"32910","","И","И","CONJ","","",".   _И_ вот , значит","и","","","","","","CONJ","И","CONJ","�"
"32911","","вот","ВОТ","PART","","","  И _вот_ , значит ,","т","о","в","","","","PART","ВОТ","PART","�"
"32912","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32913","","значит","ЗНАЧИТ","PARENTH ","","","И вот , _значит_ , я здесь","т","и","ч","а","н","з","ADV","ЗНАЧИТ","ADV -","�"
"32914","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32915","","я","Я","SPRO sg 1p - nom","","",", значит , _я_ здесь , в","я","","","","","","SPRO","Я","SPRO sg 1p - nom","�"
"32916","","здесь","ЗДЕСЬ","ADV -","","","значит , я _здесь_ , в Беларусью","ь","с","е","д","з","","ADV","ЗДЕСЬ","ADV -","�"
"32917","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32918","","в","В","PR","","","я здесь , _в_ Беларусью , Мозырь","в","","","","","","PR","В","PR","�"
"32919","","Беларусью","БЕЛАРУСЬ","S f inan sg","distort","","здесь , в _Беларусью_ , Мозырь ,","ю","ь","с","у","р","а","S","БЕЛАРУСЬ","S f inan ins sg","�"
"32920","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32921","","Мозырь","МОЗЫРЬ","S m inan sg","","","в Беларусью , _Мозырь_ , кончила два","ь","р","ы","з","о","м","S","МОЗЫРЬ","S m inan acc sg","�"
"32922","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"32923","","кончила","КОНЧИТЬ","V pf praet sg indic f -","","",", Мозырь , _кончила_ два курса пединститута","а","л","и","ч","н","о","V","КОНЧИТЬ","V pf praet sg indic f -","�"
"32924","","два","ДВА","NUM acc m inan","","","Мозырь , кончила _два_ курса пединститута и","а","в","д","","","","NUM","ДВА","NUM acc m inan","�"
"32925","","курса","КУРС","S m inan gen sg","","",", кончила два _курса_ пединститута и э","а","с","р","у","к","","S","КУРС","S m inan gen sg","�"
"32926","","пединститута","ПЕДИНСТИТУТ","S m inan gen sg","","","кончила два курса _пединститута_ и э пошла","а","т","у","т","и","т","S","ПЕДИНСТИТУТ","S m inan gen sg","�"
"32927","","и","И","CONJ","","","два курса пединститута _и_ э пошла на","и","","","","","","CONJ","И","CONJ","�"
"32928","","э","Э","INTJ","","","курса пединститута и _э_ пошла на работу","э","","","","","","INTJ","Э","S f inan nonflex -","�"
"32929","","пошла","ПОЙТИ","V pf praet sg indic f -","","","пединститута и э _пошла_ на работу в","а","л","ш","о","п","","V","ПОЙТИ","V pf praet sg indic f -","�"
"32930","","на","НА","PR","","","и э пошла _на_ работу в школу","а","н","","","","","PR","НА","PR","�"
"32931","","работу","РАБОТА","S f inan acc sg","","","э пошла на _работу_ в школу -","у","т","о","б","а","р","S","РАБОТА","S f inan acc sg","�"
"32932","","в","В","PR","","","пошла на работу _в_ школу - интернат","в","","","","","","PR","В","PR","�"
"32933","","школу","ШКОЛА","S f inan acc sg","слитно","","на работу в _школу_ - интернат для","у","л","о","к","ш","","S","ШКОЛА","S f inan acc sg","�"
"32934","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"32935","","интернат","ИНТЕРНАТ","S m inan nom sg","","","в школу - _интернат_ для умственно -","т","а","н","р","е","т","S","ИНТЕРНАТ","S m inan acc sg","�"
"32936","","для","ДЛЯ","PR","","","школу - интернат _для_ умственно - отсталых","я","л","д","","","","PR","ДЛЯ","PR","�"
"32937","","умственно","УМСТВЕННЫЙ","A - - sg brev n -","раздельно","","- интернат для _умственно_ - отсталых детей","о","н","н","е","в","т","A","УМСТВЕННЫЙ","A - - sg brev n -","�"
"32938","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"32939","","отсталых","ОТСТАЛЫЙ","A - gen pl plen - -","","","для умственно - _отсталых_ детей . ","х","ы","л","а","т","с","A","ОТСТАЛЫЙ","A - gen pl plen - -","�"
"32940","","детей","РЕБЕНОК","S m anim gen pl","","","умственно - отсталых _детей_ .  ","й","е","т","е","д","","S","РЕБЕНОК","S m anim gen pl","�"
"32941","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"32942","","","","","","","","","","","","","","","","",""
"32943","# sent = 2529","","","","","","","","","","","","","","","",""
"32944","","Там","ТАМ","ADV -","","",".   _Там_ я ээ иногда","м","а","т","","","","ADV","ТАМ","ADV -","�"
"32945","","я","Я","SPRO sg 1p - nom","","","  Там _я_ ээ иногда подрабатывала","я","","","","","","SPRO","Я","SPRO sg 1p - nom","�"
"32946","","ээ","ЭЭ","NONLEX","",""," Там я _ээ_ иногда подрабатывала педагогом","э","э","","","","","NONLEX","ЭЭ","NONLEX","�"
"32947","","иногда","ИНОГДА","ADV -","","","Там я ээ _иногда_ подрабатывала педагогом ,","а","д","г","о","н","и","ADV","ИНОГДА","ADV -","�"
"32948","","подрабатывала","ПОДРАБАТЫВАТЬ","V ipf praet sg indic f -","","","я ээ иногда _подрабатывала_ педагогом , ну","а","л","а","в","ы","т","V","ПОДРАБАТЫВАТЬ","V ipf praet sg indic f -","�"
